"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","SpectralNormSepTaper"
"25",10,1,4,1,"rectangular",1,1,4.11910426116408,4.04378197318112,4.3468511277233
"26",20,1,4,1,"rectangular",1,1,7.79627822320159,3.72023833650605,3.98060463786686
"27",30,1,4,1,"rectangular",1,1,19.5028887434374,4.0467655933656,5.02053868966633
"28",40,1,4,1,"rectangular",1,1,12.1642594917331,4.36302415011911,5.40186924509218
"29",10,1,4,1,"rectangular",1,3,4.11910426116408,2.97934234466503,4.23276667758906
"30",20,1,4,1,"rectangular",1,3,7.79627822320159,1.74902393951251,2.82729932768075
"31",30,1,4,1,"rectangular",1,3,19.5028887434374,2.97107554041632,3.57499165834318
"32",40,1,4,1,"rectangular",1,3,12.1642594917331,2.07751460208967,3.75336741031195
"33",10,1,4,1,"rectangular",1,5,4.11910426116408,3.92389546369209,4.0937976087145
"34",20,1,4,1,"rectangular",1,5,7.79627822320159,2.47516928998185,2.9007655941737
"35",30,1,4,1,"rectangular",1,5,19.5028887434374,4.248838976699,3.68991437759927
"36",40,1,4,1,"rectangular",1,5,12.1642594917331,2.54762299208952,3.96528217021869
"37",10,1,4,1,"rectangular",1,7,4.11910426116408,4.17210134234676,4.15008060552321
"38",20,1,4,1,"rectangular",1,7,7.79627822320159,4.13042736612734,3.25342125426439
"39",30,1,4,1,"rectangular",1,7,19.5028887434374,6.20387817941029,3.94294951972371
"40",40,1,4,1,"rectangular",1,7,12.1642594917331,3.6505353637061,3.93860302045442
"41",10,1,4,1,"rectangular",1,9,4.11910426116408,4.11910426116408,4.13395679536475
"42",20,1,4,1,"rectangular",1,9,7.79627822320159,5.21275014413411,3.46353857025101
"43",30,1,4,1,"rectangular",1,9,19.5028887434374,8.54812823172713,4.16573806655613
"44",40,1,4,1,"rectangular",1,9,12.1642594917331,5.27372537864302,3.94729068020953
"45",10,1,4,1,"rectangular",1,11,4.11910426116408,4.11910426116408,4.13395679536475
"46",20,1,4,1,"rectangular",1,11,7.79627822320159,6.17516800588196,3.65489477794104
"47",30,1,4,1,"rectangular",1,11,19.5028887434374,10.6697972201954,4.26834337020803
"48",40,1,4,1,"rectangular",1,11,12.1642594917331,6.76725118132568,3.93054987745185
"49",10,1,6,1,"rectangular",1,1,4.70659601501473,4.76695246015572,4.30831043910514
"50",20,1,6,1,"rectangular",1,1,10.1047953469211,7.00354530096272,7.31160115363337
"51",30,1,6,1,"rectangular",1,1,15.7696558131158,7.34167505183942,8.011973132056
"52",40,1,6,1,"rectangular",1,1,16.1618595374556,7.97960294059669,9.0392240335976
"53",10,1,6,1,"rectangular",1,3,4.70659601501473,3.79376392151671,3.46101223327478
"54",20,1,6,1,"rectangular",1,3,10.1047953469211,3.40603353311909,7.10431896122351
"55",30,1,6,1,"rectangular",1,3,15.7696558131158,3.99645661908631,6.16189653884902
"56",40,1,6,1,"rectangular",1,3,16.1618595374556,2.98488384883426,7.38694594307565
"57",10,1,6,1,"rectangular",1,5,4.70659601501473,4.74437180056739,3.80527099624295
"58",20,1,6,1,"rectangular",1,5,10.1047953469211,3.1377765426918,6.50658069664803
"59",30,1,6,1,"rectangular",1,5,15.7696558131158,4.78504309321116,6.42118114689712
"60",40,1,6,1,"rectangular",1,5,16.1618595374556,2.82089082376062,7.77381769933939
"61",10,1,6,1,"rectangular",1,7,4.70659601501473,4.78429909277955,3.85202796026877
"62",20,1,6,1,"rectangular",1,7,10.1047953469211,5.46535394506882,6.87799260219281
"63",30,1,6,1,"rectangular",1,7,15.7696558131158,5.31793271568707,6.70839148453749
"64",40,1,6,1,"rectangular",1,7,16.1618595374556,3.60861122940586,7.58241016910793
"65",10,1,6,1,"rectangular",1,9,4.70659601501473,4.70659601501473,3.84771696578464
"66",20,1,6,1,"rectangular",1,9,10.1047953469211,7.55272895965872,6.78398392068493
"67",30,1,6,1,"rectangular",1,9,15.7696558131158,6.69724113272871,6.68115895290846
"68",40,1,6,1,"rectangular",1,9,16.1618595374556,4.71358176519013,7.62550914104672
"69",10,1,6,1,"rectangular",1,11,4.70659601501473,4.70659601501473,3.84771696578464
"70",20,1,6,1,"rectangular",1,11,10.1047953469211,8.80482555150977,6.84186908891042
"71",30,1,6,1,"rectangular",1,11,15.7696558131158,9.14949537037545,6.73923880574255
"72",40,1,6,1,"rectangular",1,11,16.1618595374556,6.10772675601612,7.76922314606052
"73",10,1,8,1,"rectangular",1,1,5.42042917816886,5.99388411928409,5.62196948295902
"74",20,1,8,1,"rectangular",1,1,8.81639619792356,9.69523082345762,10.251006551165
"75",30,1,8,1,"rectangular",1,1,19.4423735418659,10.8386770247684,11.560243434331
"76",40,1,8,1,"rectangular",1,1,25.261537980527,11.466136645131,12.5713043459229
"77",10,1,8,1,"rectangular",1,3,5.42042917816886,4.49977238273347,4.28492562856069
"78",20,1,8,1,"rectangular",1,3,8.81639619792356,6.36115502781577,10.2673495223553
"79",30,1,8,1,"rectangular",1,3,19.4423735418659,7.90626009669903,11.484321938103
"80",40,1,8,1,"rectangular",1,3,25.261537980527,6.21262746882373,10.9463795813261
"81",10,1,8,1,"rectangular",1,5,5.42042917816886,5.38611767736618,5.0975931734102
"82",20,1,8,1,"rectangular",1,5,8.81639619792356,6.06412812864137,9.8259229881967
"83",30,1,8,1,"rectangular",1,5,19.4423735418659,6.70969542630263,12.830480851275
"84",40,1,8,1,"rectangular",1,5,25.261537980527,4.00321941002734,10.9948316019634
"85",10,1,8,1,"rectangular",1,7,5.42042917816886,5.44119929631377,5.10998369124014
"86",20,1,8,1,"rectangular",1,7,8.81639619792356,7.82900098614153,9.75773961320791
"87",30,1,8,1,"rectangular",1,7,19.4423735418659,6.52052086219634,12.754250119946
"88",40,1,8,1,"rectangular",1,7,25.261537980527,4.95443156670309,12.0796462965836
"89",10,1,8,1,"rectangular",1,9,5.42042917816886,5.42042917816886,5.09574361182772
"90",20,1,8,1,"rectangular",1,9,8.81639619792356,8.51187836048163,9.87663194473065
"91",30,1,8,1,"rectangular",1,9,19.4423735418659,7.97187611225835,12.3063405936592
"92",40,1,8,1,"rectangular",1,9,25.261537980527,7.10197650107408,12.2257869411332
"93",10,1,8,1,"rectangular",1,11,5.42042917816886,5.42042917816886,5.09574361182772
"94",20,1,8,1,"rectangular",1,11,8.81639619792356,8.71119735275265,9.86572726592929
