"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","FrobNorm","FrobNormTaper"
"92",40,1.5,5,1,"rectangular",1,2,13.7840906739365,1.0332259562764,44.1195225432771,10.7545047355227
"93",10,1.5,2,0,"rectangular",1,1,3.6295901965447,3.5722318550976,8.3397818046028,6.72558419602344
"94",20,1.5,2,0,"rectangular",1,1,13.1615444208378,2.92036271865171,27.5127728697868,13.1559013435112
"95",30,1.5,2,0,"rectangular",1,1,14.5457890346783,3.0931787437622,40.5304704779262,19.8777737493475
"96",40,1.5,2,0,"rectangular",1,1,16.8945155751928,3.32800624763288,49.6282725626453,26.5265520252643
"97",10,1.5,3,0,"rectangular",1,1,5.7831139789146,6.89142135335449,12.2575301099044,11.4670252657157
"98",20,1.5,3,0,"rectangular",1,1,11.4505060929291,7.56445613673101,26.7852389228123,23.9755523605834
"99",30,1.5,3,0,"rectangular",1,1,22.2633658085828,7.66886455830663,51.7802073308471,37.0185153620384
"100",40,1.5,3,0,"rectangular",1,1,41.1695198565468,8.01529208123116,83.5352986292694,49.8682105580115
"101",10,1.5,4,0,"rectangular",1,1,5.29824451016227,11.0358617056017,10.7109836760129,16.5256699405317
"102",20,1.5,4,0,"rectangular",1,1,15.9774263507302,12.6916630632649,32.7683620147839,34.3431437130767
"103",30,1.5,4,0,"rectangular",1,1,26.6508499399455,13.3053932070642,62.3403926022144,53.0119322152888
"104",40,1.5,4,0,"rectangular",1,1,43.0456943564575,13.6774155056868,91.6375936326544,71.6449089777079
"105",10,1.5,5,0,"rectangular",1,1,6.43307931945334,14.4721328830978,12.8012458231535,20.3574879676826
"106",20,1.5,5,0,"rectangular",1,1,18.8327370550964,18.3838122087232,38.8274184819786,43.7777213560753
"107",30,1.5,5,0,"rectangular",1,1,36.6347315096142,19.4382189998921,76.3426009757992,67.6887004491332
"108",40,1.5,5,0,"rectangular",1,1,38.4734779897055,20.0818206390504,94.0037096898695,91.6155312734617
"109",10,1.5,2,1,"rectangular",1,1,3.96484903655073,0.747258664131726,7.78284852286831,2.52232639014612
"110",20,1.5,2,1,"rectangular",1,1,4.80247318389622,0.571576071207489,15.8738313714496,4.34987031324102
"111",30,1.5,2,1,"rectangular",1,1,9.09389707065521,0.623188162101066,25.408977151929,6.37112964293997
"112",40,1.5,2,1,"rectangular",1,1,9.01510041337595,0.55130796583428,32.7805264119336,6.66651497342611
"113",10,1.5,3,1,"rectangular",1,1,5.0875016610853,1.24583531113495,10.0754897226684,3.71222665891795
"114",20,1.5,3,1,"rectangular",1,1,7.32284094530456,0.974953258956008,18.9239791649879,6.74618193479747
"115",30,1.5,3,1,"rectangular",1,1,10.1630352016331,1.01280902648118,30.9638451256906,10.0731750799028
"116",40,1.5,3,1,"rectangular",1,1,21.9071024797957,1.262228982045,45.7711081803802,12.7742243456415
"117",10,1.5,4,1,"rectangular",1,1,3.07931765688661,2.19311213205719,8.48010825784157,4.78197466193611
"118",20,1.5,4,1,"rectangular",1,1,15.7225986057544,1.47867990704882,27.1030233082311,10.2501524830411
"119",30,1.5,4,1,"rectangular",1,1,11.9036051275142,1.75091358540885,31.995408020377,14.634050033011
"120",40,1.5,4,1,"rectangular",1,1,14.0730062442421,2.10068556875031,42.5188824131536,18.9017856737634
"121",10,1.5,5,1,"rectangular",1,1,4.46348813720738,3.2429638951354,9.94322031088039,6.89330722092993
"122",20,1.5,5,1,"rectangular",1,1,13.2664781864695,2.40753530716437,26.8145473204891,12.171885874663
"123",30,1.5,5,1,"rectangular",1,1,21.880846892386,2.45683192404178,44.8448481080832,19.2202404140901
"124",40,1.5,5,1,"rectangular",1,1,13.7840906739365,2.93392484169092,44.1195225432771,24.7203153303468
"125",10,1.5,2,1,"rectangular",1,2,3.96484903655073,1.01596130553587,7.78284852286831,3.56451731869234
"126",20,1.5,2,1,"rectangular",1,2,4.80247318389622,0.828769468186654,15.8738313714496,4.49058711541511
"127",30,1.5,2,1,"rectangular",1,2,9.09389707065521,0.917736476885575,25.408977151929,8.04164569028415
"128",40,1.5,2,1,"rectangular",1,2,9.01510041337595,0.578226298926997,32.7805264119336,8.25812930887795
"129",10,1.5,3,1,"rectangular",1,2,5.0875016610853,1.87044408055049,10.0754897226684,5.91811655727012
"130",20,1.5,3,1,"rectangular",1,2,7.32284094530456,0.676163404660268,18.9239791649879,5.12596903641085
"131",30,1.5,3,1,"rectangular",1,2,10.1630352016331,0.965247727392369,30.9638451256906,7.93578620646164
"132",40,1.5,3,1,"rectangular",1,2,21.9071024797957,0.479784592848132,45.7711081803802,5.74293670445622
"133",10,1.5,4,1,"rectangular",1,2,3.07931765688661,2.15107094637166,8.48010825784157,4.99858927809403
"134",20,1.5,4,1,"rectangular",1,2,15.7225986057544,1.82884193710503,27.1030233082311,9.1223124659381
"135",30,1.5,4,1,"rectangular",1,2,11.9036051275142,0.910714866522159,31.995408020377,8.34158316928593
"136",40,1.5,4,1,"rectangular",1,2,14.0730062442421,0.654191308752877,42.5188824131536,7.57075665476492
"137",10,1.5,5,1,"rectangular",1,2,4.46348813720738,3.04437736471897,9.94322031088039,7.17366798434294
"138",20,1.5,5,1,"rectangular",1,2,13.2664781864695,1.67224561426018,26.8145473204891,9.5273382989979
"139",30,1.5,5,1,"rectangular",1,2,21.880846892386,1.93153317150345,44.8448481080832,13.7359830554917
"140",40,1.5,5,1,"rectangular",1,2,13.7840906739365,1.0332259562764,44.1195225432771,10.7545047355227
"141",10,1.5,2,1,"rectangular",1,3,3.96484903655073,1.8198208580133,7.78284852286831,5.19348119251379
"142",20,1.5,2,1,"rectangular",1,3,4.80247318389622,1.00209182519467,15.8738313714496,6.12457051679525
"143",30,1.5,2,1,"rectangular",1,3,9.09389707065521,1.88210872092293,25.408977151929,10.7252446156881
"144",40,1.5,2,1,"rectangular",1,3,9.01510041337595,1.27268378714631,32.7805264119336,10.3033826342071
"145",10,1.5,3,1,"rectangular",1,3,5.0875016610853,2.74891925793969,10.0754897226684,7.94600342623523
"146",20,1.5,3,1,"rectangular",1,3,7.32284094530456,1.38949115940256,18.9239791649879,6.96134213804782
"147",30,1.5,3,1,"rectangular",1,3,10.1630352016331,1.65902047259254,30.9638451256906,9.67420252016115
"148",40,1.5,3,1,"rectangular",1,3,21.9071024797957,0.920288404124026,45.7711081803802,7.98634611797335
"149",10,1.5,4,1,"rectangular",1,3,3.07931765688661,2.01289677754611,8.48010825784157,5.9099107724197
"150",20,1.5,4,1,"rectangular",1,3,15.7225986057544,2.52674234618807,27.1030233082311,10.9889216581912
