"","GridSize","seed","alpha","lambda","beta","type","SpectralNorm","SpectralNormTaper","FrobNorm","FrobNormTaper","SpectralNormSepKron","FrobNormSepKron","L1Selected","L2Selected"
"1439",50,39,1,6,0,"rectangular",70.9300876987032,64.9518335324537,164.651585064102,146.37543916326,81.8116911896221,172.183595144564,18,14
"1440",50,40,1,6,0,"rectangular",91.2829409838511,82.8188247118878,190.356886522455,155.677163559564,55.6462926908792,86.3482085658246,14,25
"1441",50,41,1,6,0,"rectangular",81.6174728029492,45.7221573804429,207.253882962101,134.310246263586,24.1336525274552,64.1682039335444,23,12
"1442",50,42,1,6,0,"rectangular",84.8017133697137,46.54421198192,177.594372506154,99.4708066913121,25.4920564706505,101.065735909973,11,9
"1443",50,43,1,6,0,"rectangular",86.3708129918101,82.0737699562045,170.179735782556,160.897000762534,74.4197136841998,130.543600849164,17,23
"1444",50,44,1,6,0,"rectangular",69.2907013962092,64.5566549843042,149.934120578574,138.676432176099,50.9871049574375,110.796888135029,28,29
"1445",50,45,1,6,0,"rectangular",88.8793510945743,81.7470863380977,193.368196636235,151.808881297442,53.5544316351855,97.7766862522266,15,9
"1446",50,46,1,6,0,"rectangular",62.8956382498254,69.7024435749406,169.056728116228,142.086788458956,63.2335127043018,115.777814616586,22,16
"1447",50,47,1,6,0,"rectangular",79.9170332157517,77.2292576433649,145.312561614896,141.413447166194,39.2770171516992,83.3073941282399,23,28
"1448",50,48,1,6,0,"rectangular",113.442897864042,91.0016555550302,210.360402894842,188.967222499987,122.651471540884,278.433700285289,16,39
"1449",50,49,1,6,0,"rectangular",75.9758047499158,64.7211588196224,200.999099491514,145.27703920132,45.2007269079263,125.568273805411,13,21
"1450",50,50,1,6,0,"rectangular",89.2231033241645,67.064974506134,159.84877193996,115.657714122874,78.3936618715491,142.748980832486,11,9
"1451",50,51,1,6,0,"rectangular",64.4048681808455,32.2877488221056,160.446258442755,77.0917754239385,25.95686720568,59.2582041861713,16,10
"1452",50,52,1,6,0,"rectangular",91.7146693980774,72.7981883187994,191.113944345858,167.964359919696,36.4953987926176,87.9830444062248,18,37
"1453",50,53,1,6,0,"rectangular",71.3725626003562,30.2185394668804,156.302285528048,89.6641309749016,41.0045956534199,81.2512041404434,9,21
"1454",50,54,1,6,0,"rectangular",64.8505024250412,54.0493030634239,145.223711193009,122.50268973213,92.8949028626238,176.388213102075,14,39
"1455",50,55,1,6,0,"rectangular",66.3543073048002,39.871553340385,142.526949622488,75.397285616558,47.2761546220901,80.726059877756,17,11
"1456",50,56,1,6,0,"rectangular",103.190846071867,82.6996545789774,196.97050046824,167.891460836503,96.6329051694839,203.391985084722,18,14
"1457",50,57,1,6,0,"rectangular",110.745592233593,53.0829005337466,207.092623367043,136.70597798457,97.5102230664674,337.510220711203,11,24
"1458",50,58,1,6,0,"rectangular",78.7421209624981,83.1256774491651,189.823848131867,180.949603924844,53.3196389529876,115.940083284974,29,23
"1459",50,59,1,6,0,"rectangular",113.081072165562,62.6253619296814,170.89171266774,128.94080563836,45.5205282374353,98.0129600610066,15,23
"1460",50,60,1,6,0,"rectangular",85.7535427366918,39.5299432673895,168.538664485474,103.367945676606,42.6432754511919,92.3207723519291,20,13
"1461",50,61,1,6,0,"rectangular",59.6743019620356,41.126357224024,123.360656901908,93.4917934262824,35.2342235368554,75.0302868606614,12,30
"1462",50,62,1,6,0,"rectangular",65.0656976267655,27.0953305517744,139.271805935951,79.6356703745152,20.2879325066062,60.2238601204657,20,12
"1463",50,63,1,6,0,"rectangular",78.7459548498898,52.0181216755581,140.113439298611,110.602669117104,40.4227119358521,81.9980731790095,16,24
"1464",50,64,1,6,0,"rectangular",107.095861680769,83.5100957688425,165.862413989063,138.717567158785,99.3116030187888,186.142104516683,22,18
"1465",50,65,1,6,0,"rectangular",67.4939085772403,37.0407484054221,162.208043391222,119.422977317074,46.3653219409945,135.370975693929,20,8
"1466",50,66,1,6,0,"rectangular",160.965938414205,142.686398874306,207.834472081652,199.793029611869,36.1565024412369,72.570975106084,26,25
"1467",50,67,1,6,0,"rectangular",50.4232462806258,36.4088487698866,139.724114391042,81.5392898098127,40.1794361606302,69.9268480141369,12,16
"1468",50,68,1,6,0,"rectangular",47.599979548428,33.99715223451,140.475029548816,90.5046865528422,57.2396932654865,128.579293609392,12,21
"1469",50,69,1,6,0,"rectangular",87.9591616173044,77.7318270128597,172.861640228424,144.493606631408,54.5043092737026,114.753662117481,19,19
"1470",50,70,1,6,0,"rectangular",70.6083358921908,63.0021635487157,132.257681441718,122.611683916053,44.2278399593728,114.579363033215,22,32
"1471",50,71,1,6,0,"rectangular",85.0613637215056,85.4202753896441,181.383741559525,151.540754477536,82.2725141394909,150.697108540774,17,13
"1472",50,72,1,6,0,"rectangular",45.7058574632933,39.7829696123292,132.471735655425,108.748279783249,26.5338635812855,85.9879952385442,20,20
"1473",50,73,1,6,0,"rectangular",109.354707675779,67.7224086436245,212.692974006642,122.631027045077,53.1242249521181,91.9058820487078,9,12
"1474",50,74,1,6,0,"rectangular",64.1818085294785,38.660982159552,157.201876896058,116.625836102192,44.1715555109735,84.6063040875377,15,31
"1475",50,75,1,6,0,"rectangular",61.8337300533669,33.726054298611,135.392828083069,97.9299462199974,44.6039096466099,95.1485908088131,41,12
"1476",50,76,1,6,0,"rectangular",108.188684220898,87.8786781415141,191.746188681593,166.443540565474,97.9222501731947,212.117597769289,21,8
"1477",50,77,1,6,0,"rectangular",87.8794009719813,52.6371184089692,150.677550166922,95.8794174877968,44.7433851160786,79.8149536392466,13,9
"1478",50,78,1,6,0,"rectangular",80.4682362760913,58.2952075379112,182.096431439223,157.618109381476,30.2729214735165,73.5460478335191,15,28
"1479",50,79,1,6,0,"rectangular",70.8754822774906,18.7287485014419,173.280663502415,70.274490701946,47.3276601777539,136.976686144882,11,18
"1480",50,80,1,6,0,"rectangular",106.271485900645,94.0654786444991,249.597098534471,240.03928391564,64.8002531482416,169.057297252099,19,28
"1481",50,81,1,6,0,"rectangular",55.7012059063262,66.8220478772474,154.14718883038,115.721216319469,79.7378549794923,150.930640655148,9,12
"1482",50,82,1,6,0,"rectangular",55.5698839340484,37.4792280971952,128.777145883817,91.5395024989257,36.779914106567,88.5439652311663,12,25
"1483",50,83,1,6,0,"rectangular",176.04756502885,149.167143654697,213.569005841262,199.800294594531,126.773569852529,196.006527247627,35,24
"1484",50,84,1,6,0,"rectangular",66.3649817375034,25.4227780939782,136.83689029241,68.588585074089,51.162767593764,98.5410444884748,17,10
"1485",50,85,1,6,0,"rectangular",96.9516644780763,49.4827851160973,186.137846614286,85.7385117984985,20.053920925381,57.993668903567,12,13
"1486",50,86,1,6,0,"rectangular",61.6835878210245,52.6023415176815,138.600134553007,114.526714244949,78.3043215940908,163.989241145839,11,16
"1487",50,87,1,6,0,"rectangular",210.980494692031,210.209621428041,309.832603857605,309.715645160931,307.060823624582,476.256939117073,45,42
"1488",50,88,1,6,0,"rectangular",131.747686927878,47.0259355659155,214.220449102195,120.532014339675,27.2720505941037,73.0124798859609,17,15
"1489",50,89,1,6,0,"rectangular",63.5957428408924,41.8613842943905,148.963294219097,111.027531624888,121.045148639232,231.114786617456,20,20
"1490",50,90,1,6,0,"rectangular",96.7730439686794,57.2530949446338,195.371453066483,139.026459234592,68.9530992802202,138.173003237759,9,22
"1491",50,91,1,6,0,"rectangular",93.7602971670743,63.3715606152237,186.161989593141,161.832607759905,101.905386499237,213.099652495762,30,21
