GridSize;seed;l;alpha;lambda;beta;type;SNorm;SNormTapered;SNormSeparTapered
10;13;1;1;8;1;rectangular;7.9987663;8.095252298;9.236354359
10;14;1;1;8;1;rectangular;11.29745713;4.80464023;5.178932666
10;15;1;1;8;1;rectangular;6.565354318;6.820745626;7.711306752
10;16;1;1;8;1;rectangular;8.582938208;7.678961428;8.535588135
10;17;1;1;8;1;rectangular;7.328916159;7.683086786;8.782617688
10;18;1;1;8;1;rectangular;8.22210553;4.09865595;4.145392841
10;19;1;1;8;1;rectangular;7.93022226;7.897987592;8.800933481
10;20;1;1;8;1;rectangular;8.114530506;6.116945906;6.7224031
10;21;1;1;8;1;rectangular;7.145055823;6.681548364;7.555404433
10;22;1;1;8;1;rectangular;7.628522508;4.558850132;4.788104308
10;23;1;1;8;1;rectangular;6.052730914;7.165401464;8.399864538
10;24;1;1;8;1;rectangular;7.770297169;8.021696855;9.065856421
10;25;1;1;8;1;rectangular;7.56347533;7.322794707;8.27016737
10;26;1;1;8;1;rectangular;7.498801655;7.151860761;8.434439824
10;27;1;1;8;1;rectangular;5.45681977;5.323976133;5.832572623
10;28;1;1;8;1;rectangular;7.976247691;7.267174319;8.445148046
10;29;1;1;8;1;rectangular;4.274931982;6.046983544;6.712878075
10;30;1;1;8;1;rectangular;7.607257221;6.389945708;6.930150923
10;31;1;1;8;1;rectangular;8.293857246;7.264556374;8.266475335
10;32;1;1;8;1;rectangular;8.836567027;8.183646278;9.060097979
10;33;1;1;8;1;rectangular;8.703531457;7.623125869;8.608414725
10;34;1;1;8;1;rectangular;7.15380764;7.586248715;8.595298339
10;35;1;1;8;1;rectangular;8.536559499;6.811795569;7.681173258
10;36;1;1;8;1;rectangular;8.377241111;7.023303121;7.890835609
10;37;1;1;8;1;rectangular;8.846926317;8.134296468;9.003382056
10;38;1;1;8;1;rectangular;8.488428554;7.461543508;8.270678331
10;39;1;1;8;1;rectangular;7.610160272;7.91755108;8.70221234
10;40;1;1;8;1;rectangular;5.969951122;6.298766222;7.212742773
10;41;1;1;8;1;rectangular;6.316368599;6.191808537;7.64926468
10;42;1;1;8;1;rectangular;7.243961231;6.851626987;7.806876964
10;43;1;1;8;1;rectangular;6.553195433;7.122235765;8.438583631
10;44;1;1;8;1;rectangular;7.479226103;6.198761841;6.817759763
10;45;1;1;8;1;rectangular;8.27215387;7.238114658;7.935740769
10;46;1;1;8;1;rectangular;7.986841244;7.034382544;7.927170332
10;47;1;1;8;1;rectangular;6.874940852;7.510490035;8.669287913
10;48;1;1;8;1;rectangular;14.1583854;5.266105086;7.881977605
10;49;1;1;8;1;rectangular;6.69925102;6.618450556;7.472893517
10;50;1;1;8;1;rectangular;7.300610336;7.622403172;8.535686544
10;51;1;1;8;1;rectangular;7.07376364;6.710975385;7.622969768
10;52;1;1;8;1;rectangular;8.150465077;6.962729268;8.000580101
10;53;1;1;8;1;rectangular;7.44538574;6.794537087;7.67922164
10;54;1;1;8;1;rectangular;7.508540947;6.78994545;7.62843678
10;55;1;1;8;1;rectangular;6.993084469;7.108727412;8.433182407
10;56;1;1;8;1;rectangular;9.136309488;8.536616754;9.21805044
10;57;1;1;8;1;rectangular;13.05958237;4.088546523;5.669140701
10;58;1;1;8;1;rectangular;7.982165392;7.680619874;8.4367561
10;59;1;1;8;1;rectangular;6.406804946;5.315010339;5.597251897
10;60;1;1;8;1;rectangular;7.037822407;7.173079338;7.924404895
10;61;1;1;8;1;rectangular;8.232324701;7.330230698;8.211352321
10;62;1;1;8;1;rectangular;8.391473353;6.742460394;7.499567344
10;63;1;1;8;1;rectangular;8.340512195;6.137623518;7.151184978
10;64;1;1;8;1;rectangular;3.596359595;5.611531519;6.350991596
10;65;1;1;8;1;rectangular;7.783421638;6.627801071;7.455073047
10;66;1;1;8;1;rectangular;7.039154819;7.495248647;8.634861933
10;67;1;1;8;1;rectangular;7.208743459;6.752779021;7.926943723
10;68;1;1;8;1;rectangular;8.250776553;7.992333763;8.891583147
10;69;1;1;8;1;rectangular;8.705309023;7.943904643;8.868588717
10;70;1;1;8;1;rectangular;7.448757222;7.146528652;8.164041067
10;71;1;1;8;1;rectangular;9.033851873;8.054617574;8.813644451
10;72;1;1;8;1;rectangular;8.077359686;7.297027948;8.298864902
10;73;1;1;8;1;rectangular;7.265180456;6.835199259;7.596218918
10;74;1;1;8;1;rectangular;7.566552315;6.949559312;7.825484924
10;75;1;1;8;1;rectangular;8.643270207;7.346196653;8.305990086
10;76;1;1;8;1;rectangular;9.218661222;8.908578119;9.465981452
10;77;1;1;8;1;rectangular;8.88057851;7.640496057;8.374141892
10;78;1;1;8;1;rectangular;8.391544929;7.005312046;7.663249629
10;79;1;1;8;1;rectangular;5.689123542;6.707736596;7.698685469
10;80;1;1;8;1;rectangular;8.436546554;8.329857007;9.175850823
10;81;1;1;8;1;rectangular;8.06044329;7.430301825;8.391213547
10;82;1;1;8;1;rectangular;7.262732181;7.506025996;8.445229221
10;83;1;1;8;1;rectangular;6.474468259;5.888697586;6.708883971
10;84;1;1;8;1;rectangular;5.626004933;6.316574074;7.370237522
10;85;1;1;8;1;rectangular;8.538482349;6.798243295;7.325095681
10;86;1;1;8;1;rectangular;6.378662756;7.939595465;8.99384836
10;87;1;1;8;1;rectangular;6.995715969;5.770971002;6.09168361
10;88;1;1;8;1;rectangular;6.220170263;4.777793942;5.215496955
10;89;1;1;8;1;rectangular;9.039649255;4.220253129;5.771743869
10;90;1;1;8;1;rectangular;8.997958716;7.904646738;8.76912278
10;91;1;1;8;1;rectangular;6.637905212;5.361530842;5.084889442
10;92;1;1;8;1;rectangular;8.352327404;7.121736024;8.153581541
10;93;1;1;8;1;rectangular;6.789239915;6.586666245;7.528173278
10;94;1;1;8;1;rectangular;6.483373856;5.895411454;6.526726794
10;95;1;1;8;1;rectangular;4.259325377;5.561720066;5.855262569
10;96;1;1;8;1;rectangular;7.081290831;6.064742937;6.938258417
10;97;1;1;8;1;rectangular;10.48014129;4.826659162;5.038611013
10;98;1;1;8;1;rectangular;9.297148654;7.966917954;8.753795272
10;99;1;1;8;1;rectangular;8.818840027;8.255066675;9.256772114
10;100;1;1;8;1;rectangular;8.97806569;8.27396724;9.018591512
