"","GridSize","seed","alpha","lambda","beta","type","SNorm","SNormTapered","SNormSeparTapered","L1Selected","L2Selected"
"1139",40,39,1,6,0,"rectangular",95.2166705965273,81.4592176781827,88.0585072767022,11,7
"1140",40,40,1,6,0,"rectangular",88.1390092999981,68.845325770214,63.6418996503616,10,9
"1141",40,41,1,6,0,"rectangular",83.085557468043,65.4941748168895,52.5392690514404,22,9
"1142",40,42,1,6,0,"rectangular",98.217626114361,98.4203699451098,64.0941159521871,15,12
"1143",40,43,1,6,0,"rectangular",65.7416094652926,51.6411673448465,48.4480314746996,12,20
"1144",40,44,1,6,0,"rectangular",67.0579030535547,36.5830246997547,31.1681284872297,8,23
"1145",40,45,1,6,0,"rectangular",92.9785446572908,89.1094822581412,62.9259381561882,9,22
"1146",40,46,1,6,0,"rectangular",94.3307324687118,95.2042238663273,77.5061643602768,11,18
"1147",40,47,1,6,0,"rectangular",96.5783831394001,75.9696347519756,75.4296742472349,10,10
"1148",40,48,1,6,0,"rectangular",112.838348869528,49.776657150848,83.9285767833686,13,13
"1149",40,49,1,6,0,"rectangular",56.7092506822893,40.611021935612,24.9832287326019,13,18
"1150",40,50,1,6,0,"rectangular",89.7349600986446,72.221847763824,79.9541919059321,7,15
"1151",40,51,1,6,0,"rectangular",92.5100951523106,54.5483934079042,47.5517227124443,10,10
"1152",40,52,1,6,0,"rectangular",72.5937757714985,71.1059920955387,31.4741233074459,24,25
"1153",40,53,1,6,0,"rectangular",81.0054647800662,43.6779524462724,45.1785173616733,19,11
"1154",40,54,1,6,0,"rectangular",81.8100046474762,56.2827911271584,32.0848194825706,21,15
"1155",40,55,1,6,0,"rectangular",68.3798420816548,49.753350747322,52.5619554872242,12,12
"1156",40,56,1,6,0,"rectangular",98.4137190637148,83.4812866347403,92.6276839278153,9,18
"1157",40,57,1,6,0,"rectangular",115.356074947649,83.7948502239498,77.9183912914722,12,17
"1158",40,58,1,6,0,"rectangular",91.0330274755074,71.1154142466462,73.991392102921,8,11
"1159",40,59,1,6,0,"rectangular",79.6528479541419,49.2518831545084,54.4479457394673,10,11
"1160",40,60,1,6,0,"rectangular",89.5879175542789,89.7677286686179,69.0856953007374,21,24
"1161",40,61,1,6,0,"rectangular",63.9749885631048,49.5931814696903,39.0634744453142,11,21
"1162",40,62,1,6,0,"rectangular",74.7158451794232,48.744843395679,43.3314403000755,13,9
"1163",40,63,1,6,0,"rectangular",49.5467976341872,22.9558694035629,13.6799303777324,19,11
"1164",40,64,1,6,0,"rectangular",58.2706999298395,23.9220772589294,16.1361192690909,11,14
"1165",40,65,1,6,0,"rectangular",79.6800708717169,70.6565459168011,51.0751456692607,20,7
"1166",40,66,1,6,0,"rectangular",100.568939608539,95.8872614467791,82.6638716650564,21,17
"1167",40,67,1,6,0,"rectangular",88.1764718231176,92.23269405961,72.6432943759206,17,25
"1168",40,68,1,6,0,"rectangular",105.041433476614,94.088849010776,94.3040176109435,8,8
"1169",40,69,1,6,0,"rectangular",103.910017435058,100.986780657316,89.3003562741716,10,20
"1170",40,70,1,6,0,"rectangular",80.8946001885002,78.6042012626232,82.7246368951014,26,14
"1171",40,71,1,6,0,"rectangular",106.031786412422,107.668367789483,98.5641182102468,20,15
"1172",40,72,1,6,0,"rectangular",92.990938425951,78.9472333473628,79.8410400811777,10,9
"1173",40,73,1,6,0,"rectangular",104.566821393161,100.909472276724,79.7686200799266,10,21
"1174",40,74,1,6,0,"rectangular",60.5040730278584,41.1310799741815,41.7321392563187,12,11
