"GridSize","seed","alpha","lambda","beta","type","SNorm","SNormTapered","SNormSeparTapered","L1Selected","L2Selected"
10,84,1,2,0,"trapezoid",8.93537783465685,7.22668734991235,7.61035195479751,2,2
10,85,1,2,0,"trapezoid",9.64947016198662,6.88458478500417,5.22960646370571,2,3
10,86,1,2,0,"trapezoid",9.52074431677855,8.75476759631811,9.84991994454216,2,2
10,87,1,2,0,"trapezoid",10.8453057850994,7.22650229306194,9.71884944897043,4,3
10,88,1,2,0,"trapezoid",5.4803663114455,3.20247096626141,3.41097170569462,3,3
10,89,1,2,0,"trapezoid",8.64786284594206,5.87194335284832,7.13902159280754,4,2
10,90,1,2,0,"trapezoid",9.58954360806969,8.05091265011244,8.86360041776992,1,3
10,91,1,2,0,"trapezoid",8.32008491308742,4.43646892266825,4.40291632588326,3,2
10,92,1,2,0,"trapezoid",9.50417007534664,7.78669361336301,8.09666022911576,2,2
10,93,1,2,0,"trapezoid",9.38176355096633,7.19017008568319,6.88544668360499,2,2
10,94,1,2,0,"trapezoid",8.62213248481612,5.03601119092026,3.05781223056258,2,4
10,95,1,2,0,"trapezoid",7.24028129592941,5.3315547281691,2.90322507534699,2,2
10,96,1,2,0,"trapezoid",6.17698578806184,3.76965404705459,5.98160733908916,3,2
10,97,1,2,0,"trapezoid",5.9133784897731,5.72979811052727,4.66408792815487,3,8
10,98,1,2,0,"trapezoid",9.59642974937174,8.48800169086978,8.52177478666248,1,3
10,99,1,2,0,"trapezoid",10.8042405256784,10.0230739247024,9.55821021955742,2,2
10,100,1,2,0,"trapezoid",11.214206970762,10.6413412208598,11.0179716769395,2,1
10,1,1,4,0,"trapezoid",25.2567980524055,24.3974302419692,24.9066275665483,3,2
10,2,1,4,0,"trapezoid",22.4575899110501,20.1888402256123,20.7939980686374,3,2
10,3,1,4,0,"trapezoid",26.3774310170689,25.6951401147354,26.3374123112181,2,2
10,4,1,4,0,"trapezoid",24.3357398593421,22.6282962108542,23.2955062157295,3,3
10,5,1,4,0,"trapezoid",20.5231038458653,17.8100652425952,19.1130312003732,2,5
10,6,1,4,0,"trapezoid",24.5118539016244,23.5250744421152,23.5564604954247,2,2
10,7,1,4,0,"trapezoid",23.1285067545963,22.00535534552,22.4466840667909,3,3
10,8,1,4,0,"trapezoid",24.8858147577137,23.6710092274126,24.5063749098871,2,3
10,9,1,4,0,"trapezoid",25.1785598230423,25.3054468733394,25.4254087921577,2,3
10,10,1,4,0,"trapezoid",23.5634133318674,22.3750515165496,23.7898172637234,3,3
10,11,1,4,0,"trapezoid",22.6698413681208,20.9784595135612,22.0356909126612,3,4
10,12,1,4,0,"trapezoid",19.8145115039667,17.695414683443,15.95063171618,3,3
10,13,1,4,0,"trapezoid",20.8859076596769,19.5835831958346,19.623682890208,3,4
10,14,1,4,0,"trapezoid",14.3945056739632,14.6016937309289,17.003636853816,5,8
10,15,1,4,0,"trapezoid",20.6219444241603,18.3573197970074,19.9083969541242,3,3
10,16,1,4,0,"trapezoid",24.0632624995222,22.5613551081592,22.1577204509697,3,4
