"","GridSize","alpha","lambda","beta","type","c","l","SpectralNorm","SpectralNormTaper","SpectralNormSepTaper"
"87",30,1,16,1,"rectangular",1,7,20.677564971159,12.9820785441399,19.2394225835946
"88",40,1,16,1,"rectangular",1,7,36.7637490951033,13.0677120009869,20.0862284769856
"89",10,1,16,1,"rectangular",1,9,7.3831148017112,7.3831148017112,7.8724127196158
"90",20,1,16,1,"rectangular",1,9,13.6291543878936,10.789373315853,14.7686656795339
"91",30,1,16,1,"rectangular",1,9,20.677564971159,13.8998440112641,19.5581092603401
"92",40,1,16,1,"rectangular",1,9,36.7637490951033,13.7275870607147,20.9773858312572
"93",10,1,16,1,"rectangular",1,11,7.3831148017112,7.3831148017112,7.8724127196158
"94",20,1,16,1,"rectangular",1,11,13.6291543878936,11.3306535355423,14.9635235119264
"95",30,1,16,1,"rectangular",1,11,20.677564971159,14.6123316520228,19.3681292311326
"96",40,1,16,1,"rectangular",1,11,36.7637490951033,13.8906346407928,21.1766920684216
"97",10,1,18,1,"rectangular",1,1,6.69716278408848,8.80671573610604,8.32596908890261
"98",20,1,18,1,"rectangular",1,1,13.7522158825897,17.578272961194,17.9537529149137
"99",30,1,18,1,"rectangular",1,1,20.3352536985465,21.722141297554,21.7174886318485
"100",40,1,18,1,"rectangular",1,1,27.0654923676603,25.3435197763349,26.0444919319254
"101",10,1,18,1,"rectangular",1,3,6.69716278408848,6.00645448592131,6.18456513486884
"102",20,1,18,1,"rectangular",1,3,13.7522158825897,12.6537562231608,16.2704070765133
"103",30,1,18,1,"rectangular",1,3,20.3352536985465,14.3505301459986,19.4171751326403
"104",40,1,18,1,"rectangular",1,3,27.0654923676603,18.5250128983385,24.4821742118271
"105",10,1,18,1,"rectangular",1,5,6.69716278408848,6.27401767482126,6.58107281846573
"106",20,1,18,1,"rectangular",1,5,13.7522158825897,10.1741554090923,16.1909588519527
"107",30,1,18,1,"rectangular",1,5,20.3352536985465,9.43802828321211,18.651414169362
"108",40,1,18,1,"rectangular",1,5,27.0654923676603,13.8844902106364,23.6297417365954
"109",10,1,18,1,"rectangular",1,7,6.69716278408848,6.6717270318857,6.78039623299155
"110",20,1,18,1,"rectangular",1,7,13.7522158825897,9.89253726253029,16.0101073047369
"111",30,1,18,1,"rectangular",1,7,20.3352536985465,8.33224406389042,18.7220687465581
"112",40,1,18,1,"rectangular",1,7,27.0654923676603,11.4461332606838,23.7899209944614
"113",10,1,18,1,"rectangular",1,9,6.69716278408848,6.69716278408848,6.79955735819245
"114",20,1,18,1,"rectangular",1,9,13.7522158825897,10.6863453965561,16.177005672597
"115",30,1,18,1,"rectangular",1,9,20.3352536985465,9.52348111835739,18.7185431869518
"116",40,1,18,1,"rectangular",1,9,27.0654923676603,11.4685612262511,24.90675672442
"117",10,1,18,1,"rectangular",1,11,6.69716278408848,6.69716278408848,6.79955735819245
"118",20,1,18,1,"rectangular",1,11,13.7522158825897,11.9481653499512,16.5555416618493
"119",30,1,18,1,"rectangular",1,11,20.3352536985465,10.560514459382,18.7372677941767
"120",40,1,18,1,"rectangular",1,11,27.0654923676603,12.2629818273255,24.8692580144471
"121",10,1,20,1,"rectangular",1,1,8.15344804052126,10.2442424067178,10.9252352831621
"122",20,1,20,1,"rectangular",1,1,14.5790176899989,18.8525767619467,19.7141145220422
"123",30,1,20,1,"rectangular",1,1,18.5391915615176,24.1275265757073,24.58850609542
"124",40,1,20,1,"rectangular",1,1,31.4810069790672,27.6371806217429,28.289821203308
"125",10,1,20,1,"rectangular",1,3,8.15344804052126,7.43583764128851,8.7995556296153
"126",20,1,20,1,"rectangular",1,3,14.5790176899989,14.3364238600219,18.1772969712675
"127",30,1,20,1,"rectangular",1,3,18.5391915615176,18.0418531097837,23.7207035810887
"128",40,1,20,1,"rectangular",1,3,31.4810069790672,21.4754738272646,27.8339753308049
"129",10,1,20,1,"rectangular",1,5,8.15344804052126,7.77708972763369,8.95248789896112
"130",20,1,20,1,"rectangular",1,5,14.5790176899989,12.3021477542204,18.3988467501671
"131",30,1,20,1,"rectangular",1,5,18.5391915615176,15.1579505590908,22.6772229426143
"132",40,1,20,1,"rectangular",1,5,31.4810069790672,16.7859007424379,27.1087574374018
"133",10,1,20,1,"rectangular",1,7,8.15344804052126,8.12718478126224,9.19085346934447
"134",20,1,20,1,"rectangular",1,7,14.5790176899989,12.4624211767562,18.099066820351
"135",30,1,20,1,"rectangular",1,7,18.5391915615176,14.5129253470046,24.0943207435087
"136",40,1,20,1,"rectangular",1,7,31.4810069790672,14.1535868379035,26.5157638616562
"137",10,1,20,1,"rectangular",1,9,8.15344804052126,8.15344804052126,9.23889278613236
"138",20,1,20,1,"rectangular",1,9,14.5790176899989,12.9948849900935,18.1399479468916
"139",30,1,20,1,"rectangular",1,9,18.5391915615176,14.7401822877342,24.1037437095582
"140",40,1,20,1,"rectangular",1,9,31.4810069790672,13.9357439774495,27.1880321135488
"141",10,1,20,1,"rectangular",1,11,8.15344804052126,8.15344804052126,9.23889278613236
"142",20,1,20,1,"rectangular",1,11,14.5790176899989,13.4013278470499,18.242493537933
"143",30,1,20,1,"rectangular",1,11,18.5391915615176,14.9327380438312,24.4007046552751
"144",40,1,20,1,"rectangular",1,11,31.4810069790672,15.9301506027727,27.1867376386677
